          38
         131           1
          41           1
         179           1
          57           1
         105           1
          64           1
          90           2
          60           2
         109           2
         120           2
         186           2
         142           2
          43           3
         144           3
          76           3
          86           3
          36           3
         119           3
         200           4
         121           4
          85           4
          19           4
          94           4
          56           4
         103           5
          29           5
          39           5
          48           5
         127           5
          50           5
          42           6
          91           6
          34           6
         194           6
          37           6
         155           6
          35           7
         126           7
          44           7
         180           7
          22           7
          40           7
         151           8
         100           8
           4           8
          96           8
         145           8
         138           8
          93           9
          65           9
         173           9
         128           9
           3           9
          31           9
         133          10
         148          10
         182          10
         125          10
          47          10
          97          10
         159          11
           9          11
          45          11
          28          11
         183          11
         115          12
         189          12
         175          12
          21          12
         177          12
          24          13
         136          13
         135          13
         122          13
          79          13
         163          14
         170          14
         158          14
         176          14
         196          14
          71          15
          88          15
          30          15
         129          15
          82          15
          53          16
          26          16
          59          16
         104          16
          55          16
          61          17
         154          17
         140          17
         185          17
          15          17
         160          18
          74          18
         172          18
          83          18
         192          18
         134          19
          20          19
         166          19
          98          19
         167          19
         157          20
          63          20
          92          20
         123          20
          66          20
         102          21
          72          21
         118          21
         191          21
          12          21
          81          22
         152          22
         150          22
         116          22
         113          22
          51          23
           7          23
          68          23
         117          23
          23          23
          46          24
         184          24
           1          24
         162          24
          67          24
          17          25
          11          25
         178          25
         199          25
          73          25
          18          26
          84          26
          70          26
         174          26
         143          26
         108          27
         101          27
          58          27
         124          27
         111          27
          77          28
          52          28
         110          28
         168          28
         171          28
          14          29
         112          29
         153          29
         130          29
         149          29
         169          30
         195          30
         197          30
          27          30
          33          30
         107          31
          49          31
         114          31
         146          31
         132          31
          10          32
         193          32
         181          32
          89          32
           5          32
          16          33
          69          33
         137          33
         190          33
         141          33
          62          34
          25          34
         188          34
         106          34
         156          34
         164          35
          99          35
         139          35
          75          35
          87          35
         187          36
          54          36
          38          36
          13          36
           2          36
         165          37
          78          37
          32          37
           6          37
          95          37
         198          38
          80          38
           8          38
         147          38
         161          38
