49
0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.0042761202,0.0017457105,0.5,0.0064203702,0.0022187359,0.5,0.0064203702,0.0027967529,0.5,0.0024068699,0.0032395038
1,0.0073611231,0.0033033227,1,0.0092458045,0.003245987,1,0.0092458045,0.0041192113,1,0.0037967115,0.0048119044
1.5,0.0102278129,0.0049994201,1.5,0.0101246238,0.0035848571,1.5,0.0101246238,0.0046011684,1.5,0.0048110842,0.0053813378
2,0.0134563953,0.0070501001,2,0.0101507251,0.0036192431,2,0.0101507251,0.0047201577,2,0.0058183872,0.0055072984
2.5,0.0177699103,0.0099016993,2.5,0.0102282971,0.0036793586,2.5,0.0102282971,0.0049337268,2.5,0.0072723621,0.0057394255
3,0.0236127148,0.0139904088,3,0.0106370928,0.0038088621,3,0.0106370928,0.0053902299,3,0.0094716355,0.00625079
3.5,0.0313116769,0.019697733,3.5,0.0123294213,0.004085715,3.5,0.0123294213,0.0063209685,3.5,0.0127077288,0.0073139954
4,0.0411805125,0.0274542385,4,0.017840906,0.0046626175,4,0.017840906,0.0081215293,4,0.0173398972,0.0093973929
4.5,0.0534867711,0.0377187936,4.5,0.0319825791,0.0058195113,4.5,0.0319825791,0.01141604,4.5,0.023790079,0.0132418783
5,0.0684153448,0.0509477349,5,0.0606105467,0.0080335167,5,0.0606105467,0.0171063033,5,0.0325275948,0.0199192715
5.5,0.0860331811,0.067555559,5.5,0.1063890553,0.0120557039,5.5,0.1063890553,0.0263729894,5.5,0.044041922,0.0308326388
6,0.1062608407,0.0878707663,6,0.1642655272,0.0189696404,6,0.1642655272,0.0405920692,6,0.0588035096,0.0476141193
6.5,0.1288565795,0.1120923174,6.5,0.2221451025,0.0301924102,6.5,0.2221451025,0.0611424025,6.5,0.077214867,0.0718912374
7,0.1534175496,0.1402532938,7,0.2679342896,0.0473740151,7,0.2679342896,0.0891139648,7,0.0995567025,0.1049332912
7.5,0.179400556,0.1721983477,7.5,0.2965850379,0.0721663033,7.5,0.2965850379,0.1249737505,7.5,0.1259361852,0.1472469244
8,0.2061619263,0.2075801468,8,0.3107706133,0.1058727262,8,0.3107706133,0.1682884636,8,0.1562458281,0.198240859
8.5,0.2330129748,0.2458773597,8.5,0.3163630619,0.1490471265,8.5,0.3163630619,0.2176145072,8.5,0.1901414861,0.2560935675
9,0.2592849354,0.2864332137,9,0.3182000806,0.2011601136,9,0.3182000806,0.2706300066,9,0.2270462229,0.3179143998
9.5,0.284395617,0.3285100001,9.5,0.3188601827,0.26046528,9.5,0.3188601827,0.3245062966,9.5,0.2661833859,0.3801952112
10,0.3079097356,0.3713519305,10,0.3193622651,0.3241547911,10,0.3193622651,0.3764276587,10,0.3066376422,0.4394423235
10.5,0.3295858644,0.4142471544,10.5,0.3200713473,0.3888015103,10.5,0.3200713473,0.4241092199,10.5,0.347437811,0.4928073796
11,0.349404898,0.4565799488,11,0.3211876367,0.450978875,11,0.3211876367,0.466163058,11,0.3876511037,0.5385356889
11.5,0.3675773532,0.4978660445,11.5,0.3229213787,0.5078793717,11.5,0.3229213787,0.5022217145,11.5,0.4264757713,0.5761220022
