4,6
11
0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,0.05,1,0.3,0.1,1,0.05,0.05,1,0.3,0.3
2,0.4,0.1,2,0.7,0.3,2,0.35,0.15,2,0.6,0.6
3,0.7,0.3,3,0.9,0.7,3,0.75,0.45,3,0.8,0.8
4,0.9,0.6,4,1,0.9,4,0.95,0.85,4,1,1
5,1,0.9,5,1,1,5,1,1,5,1,1
6,1,1,6,1,1,6,1,1,6,1,1
7,1,1,7,1,1,7,1,1,7,1,1
8,1,1,8,1,1,8,1,1,8,1,1
9,1,1,9,1,1,9,1,1,9,1,1
10,1,1,10,1,1,10,1,1,10,1,1
11
0,0,0,0,0,0,0,0,0,0,0,0
1,0.05,0.1,1,0.05,0.3,1,0.05,0.2,1,0.2,0.15
2,0.45,0.6,2,0.15,0.8,2,0.25,0.6,2,0.7,0.7
3,0.85,0.9,3,0.85,0.9,3,0.8,0.9,3,0.9,0.9
4,1,1,4,0.95,1,4,1,1,4,1,1
5,1,1,5,1,1,5,1,1,5,1,1
6,1,1,6,1,1,6,1,1,6,1,1
7,1,1,7,1,1,7,1,1,7,1,1
8,1,1,8,1,1,8,1,1,8,1,1
9,1,1,9,1,1,9,1,1,9,1,1
10,1,1,10,1,1,10,1,1,10,1,1
13
0,0,0,0,0,0,0,0,0,0,0,0
1,0.05,0.05,1,0.05,0.1,1,0.05,0.15,1,0.2,0.2
2,0.1,0.1,2,0.15,0.3,2,0.25,0.2,2,0.25,0.25
3,0.15,0.15,3,0.65,0.7,3,0.45,0.5,3,0.35,0.3
4,0.25,0.2,4,0.85,0.9,4,0.75,0.8,4,0.55,0.45
5,0.45,0.35,5,0.95,1,5,0.95,0.9,5,0.75,0.65
6,0.65,0.55,6,1,1,6,1,1,6,0.9,0.85
7,0.85,0.85,7,1,1,7,1,1,7,0.95,0.95
8,0.95,0.9,8,1,1,8,1,1,8,1,0.98
9,1,0.95,9,1,1,9,1,1,9,1,1
10,1,1,10,1,1,10,1,1,10,1,1
11,1,1,11,1,1,11,1,1,11,1,1
12,1,1,12,1,1,12,1,1,12,1,1
61
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,2.06E-007,1,0,0,1,0,0
2,5.38E-007,1.61E-007,2,1.56E-006,3.50E-006,2,6.28E-007,8.27E-008,2,8.27E-008,8.27E-008
3,9.15E-006,2.74E-006,3,2.66E-005,2.02E-005,3,1.07E-005,1.41E-006,3,1.41E-006,1.41E-006
4,5.28E-005,1.58E-005,4,0.0001531151,7.28E-005,4,6.15E-005,8.10E-006,4,8.10E-006,8.10E-006
5,0.0001905724,5.71E-005,5,0.0005529872,0.0002014214,5,0.0002222663,2.93E-005,5,2.93E-005,2.93E-005
6,0.0005269506,0.0001578221,6,0.0015285965,0.0004680027,6,0.0006145708,8.10E-005,6,8.10E-005,8.10E-005
7,0.0012241152,0.0003667101,7,0.0035486817,0.0009616941,7,0.0014275786,0.0001881049,7,0.0001881049,0.0001881049
8,0.0025144435,0.0007535881,8,0.0072805919,0.0018033567,8,0.0029320685,0.0003865904,8,0.0003865904,0.0003865904
9,0.0047119065,0.0014132453,9,0.0136153903,0.0031500802,9,0.0054935223,0.0007251087,9,0.0007251087,0.0007251087
10,0.0082218707,0.0024689936,10,0.0236795173,0.0051992432,10,0.0095829563,0.0012671139,10,0.0012671139,0.0012671139
11,0.0135480726,0.0040759974,11,0.0388237866,0.0081918947,11,0.0157839263,0.002092656,11,0.002092656,0.002092656
12,0.0212950697,0.0064241846,12,0.0605775001,0.0124150936,12,0.0247934235,0.0033001125,12,0.0033001125,0.0033001125
13,0.0321638969,0.0097405147,13,0.0905535409,0.018202731,13,0.0374136479,0.0050077484,13,0.0050077484,0.0050077484
14,0.0469381109,0.0142903042,14,0.1302912342,0.0259342313,14,0.054530988,0.0073550242,14,0.0073550242,0.0073550242
15,0.0664570192,0.0203772305,15,0.1810300463,0.0360304108,15,0.0770781633,0.0105035464,15,0.0105035464,0.0105035464
16,0.0915728695,0.0283415466,16,0.2434214772,0.0489456752,16,0.1059757305,0.0146375264,16,0.0146375264,0.0146375264
17,0.1230894209,0.038555964,17,0.317210259,0.0651556913,17,0.1420504268,0.019963587,17,0.019963587,0.019963587
18,0.1616809506,0.0514186061,18,0.4009471713,0.0851397185,18,0.1859305833,0.0267097239,18,0.0267097239,0.0267097239
19,0.2077936911,0.0673424165,19,0.4918261626,0.1093569669,19,0.2379234424,0.0351232068,19,0.0351232068,0.0351232068
20,0.2615360832,0.0867404628,20,0.5857521217,0.1382167239,20,0.2978856657,0.0454671823,20,0.0454671823,0.0454671823
21,0.3225698716,0.1100067207,21,0.677721982,0.1720425986,21,0.3651059843,0.0580157363,21,0.0580157363,0.0580157363
